Setting,SPC-FedGNN,FedATH,FedSSP,SPC win vs FedATH,SPC win vs FedSSP
"Cora, α=0.1, K=10",0.2531 ± 0.0199,0.2287 ± 0.0187,0.2254 ± 0.0202,3/3,3/3
"Cora, α=0.1, K=20",0.1910 ± 0.0093,0.1772 ± 0.0229,0.1658 ± 0.0194,2/3,3/3
"Cora, α=0.5, K=10",0.5071 ± 0.0722,0.4991 ± 0.0665,0.4894 ± 0.0813,2/3,3/3
"Cora, α=0.5, K=20",0.3916 ± 0.0331,0.3561 ± 0.0433,0.3399 ± 0.0431,3/3,3/3
"CiteSeer, α=0.1, K=10",0.2473 ± 0.0310,0.2263 ± 0.0233,0.2149 ± 0.0174,3/3,3/3
"CiteSeer, α=0.1, K=20",0.2242 ± 0.0201,0.2101 ± 0.0222,0.1919 ± 0.0255,3/3,3/3
"CiteSeer, α=0.5, K=10",0.5017 ± 0.0011,0.4970 ± 0.0144,0.5008 ± 0.0201,2/3,2/3
"CiteSeer, α=0.5, K=20",0.4258 ± 0.0103,0.3992 ± 0.0222,0.3941 ± 0.0244,3/3,3/3
"PubMed, α=0.1, K=10",0.5051 ± 0.0496,0.3571 ± 0.0241,0.3440 ± 0.0328,3/3,3/3
"PubMed, α=0.1, K=20",0.3843 ± 0.0467,0.2809 ± 0.0606,0.2806 ± 0.0611,3/3,3/3
"PubMed, α=0.5, K=10",0.7005 ± 0.0264,0.5858 ± 0.0579,0.5839 ± 0.0556,3/3,3/3
"PubMed, α=0.5, K=20",0.7149 ± 0.0290,0.7083 ± 0.0292,0.7079 ± 0.0286,3/3,3/3
