dataset,method,mean_macro_f1,delta_vs_full,delta_vs_base_guard
amazon_photo,spc_guard,0.2136,-0.0015,+0.0000
amazon_photo,spc_guard_pp,0.2152,+0.0000,+0.0015
amazon_photo,spc_guard_pp_no_class_balance,0.1890,-0.0262,-0.0247
amazon_photo,spc_guard_pp_no_coverage,0.2139,-0.0013,+0.0002
amazon_photo,spc_guard_random_candidates,0.1887,-0.0265,-0.0250
amazon_photo,spc_no_personalization,0.1571,-0.0580,-0.0565
amazon_photo,spc_protoagg,0.1521,-0.0631,-0.0616
cora,spc_guard,0.1937,+0.0007,+0.0000
cora,spc_guard_pp,0.1931,+0.0000,-0.0007
cora,spc_guard_pp_no_class_balance,0.1539,-0.0391,-0.0398
cora,spc_guard_pp_no_coverage,0.1930,-0.0000,-0.0007
cora,spc_guard_random_candidates,0.1519,-0.0411,-0.0418
cora,spc_no_personalization,0.1140,-0.0791,-0.0798
cora,spc_protoagg,0.1335,-0.0595,-0.0602
pubmed,spc_guard,0.3884,+0.0041,+0.0000
pubmed,spc_guard_pp,0.3844,+0.0000,-0.0041
pubmed,spc_guard_pp_no_class_balance,0.2972,-0.0872,-0.0913
pubmed,spc_guard_pp_no_coverage,0.3843,-0.0001,-0.0041
pubmed,spc_guard_random_candidates,0.2961,-0.0883,-0.0924
pubmed,spc_no_personalization,0.2358,-0.1485,-0.1526
pubmed,spc_protoagg,0.2859,-0.0985,-0.1026
