dataset,method,n_seeds,seeds,mean_macro_f1,std_macro_f1,spc_main,delta_vs_spc,spc_seedlevel_wins,old_best_method,old_best_macro_f1,delta_vs_old_best
amazon_computers,adafgl_matched,3,0 1 2,0.2011,0.0330,0.1958,0.0053,1/3,FedATH-style,0.1779,0.0232
amazon_computers,fedgta_matched,3,0 1 2,0.0947,0.0394,0.1958,-0.1011,3/3,FedATH-style,0.1779,-0.0832
amazon_computers,fediih_matched,3,0 1 2,0.0868,0.0143,0.1958,-0.1090,3/3,FedATH-style,0.1779,-0.0911
citeseer,adafgl_matched,3,0 1 2,0.2164,0.0260,0.2265,-0.0101,2/3,FedATH-style,0.2073,0.0091
citeseer,fedgta_matched,3,0 1 2,0.1589,0.0142,0.2265,-0.0676,3/3,FedATH-style,0.2073,-0.0484
citeseer,fediih_matched,3,0 1 2,0.1848,0.0181,0.2265,-0.0417,3/3,FedATH-style,0.2073,-0.0225
cora,adafgl_matched,3,0 1 2,0.1919,0.0099,0.1920,-0.0001,2/3,FedATH-style,0.1746,0.0173
cora,fedgta_matched,3,0 1 2,0.1299,0.0142,0.1920,-0.0621,3/3,FedATH-style,0.1746,-0.0447
cora,fediih_matched,3,0 1 2,0.1960,0.0050,0.1920,0.0040,0/3,FedATH-style,0.1746,0.0214
pubmed,adafgl_matched,3,0 1 2,0.3268,0.1113,0.3844,-0.0576,2/3,FedSSP,0.2966,0.0302
pubmed,fedgta_matched,3,0 1 2,0.2873,0.0915,0.3844,-0.0971,2/3,FedSSP,0.2966,-0.0093
pubmed,fediih_matched,3,0 1 2,0.3396,0.0991,0.3844,-0.0448,2/3,FedSSP,0.2966,0.0430
roman_empire,adafgl_matched,3,0 1 2,0.2047,0.0087,0.2104,-0.0057,2/3,FedATH-style,0.1737,0.0310
roman_empire,fedgta_matched,3,0 1 2,0.1372,0.0091,0.2104,-0.0732,3/3,FedATH-style,0.1737,-0.0365
roman_empire,fediih_matched,3,0 1 2,0.2045,0.0092,0.2104,-0.0059,2/3,FedATH-style,0.1737,0.0308
tolokers,adafgl_matched,3,0 1 2,0.3664,0.0221,0.3985,-0.0321,3/3,FedATH-style/FedSSP/FedPub/FedAvg/FedProx,0.3664,-0.0000
tolokers,fedgta_matched,3,0 1 2,0.3749,0.0275,0.3985,-0.0236,3/3,FedATH-style/FedSSP/FedPub/FedAvg/FedProx,0.3664,0.0085
tolokers,fediih_matched,3,0 1 2,0.3664,0.0221,0.3985,-0.0321,3/3,FedATH-style/FedSSP/FedPub/FedAvg/FedProx,0.3664,-0.0000
